location	animal	user	sn	an	datatype	start	end	startreason	endreason	entct	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	stdate	sttime
OPF02	animal  2	VID\Videotrack_user	1	1	track	180	240	End of period	End of period	0	57	34.2	0	57	25.8	109.5	0	0	0	25/09/2017	14:07:36
OPF02	animal  2	VID\Videotrack_user	1	2	track	180	240	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:07:36
OPF03	animal  3	VID\Videotrack_user	1	0	track	180	240	End of period	End of period	0	90	17.9	0	90	42.1	174.3	0	0	0	25/09/2017	14:07:36
OPF03	animal  3	VID\Videotrack_user	1	1	track	180	240	End of period	End of period	0	90	17.9	0	90	42.1	174.3	0	0	0	25/09/2017	14:07:36
OPF03	animal  3	VID\Videotrack_user	1	2	track	180	240	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:07:36
OPF04	animal  4	VID\Videotrack_user	1	0	track	180	240	End of period	End of period	0	86	26.3	0	85	33.7	155	0	0	0	25/09/2017	14:07:36
OPF04	animal  4	VID\Videotrack_user	1	1	track	180	240	End of period	End of period	0	86	26.3	0	85	33.7	155	0	0	0	25/09/2017	14:07:36
OPF04	animal  4	VID\Videotrack_user	1	2	track	180	240	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:07:36
OPF01	animal  1	VID\Videotrack_user	1	0	track	240	300	End of period	End of period	0	63	11.6	0	66	48.2	345.2	3	0.2	7.2	25/09/2017	14:08:36
OPF01	animal  1	VID\Videotrack_user	1	1	track	240	300	End of period	End of period	0	63	11.6	0	66	48.2	345.2	3	0.2	7.2	25/09/2017	14:08:36
OPF01	animal  1	VID\Videotrack_user	1	2	track	240	300	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:08:36
OPF02	animal  2	VID\Videotrack_user	1	0	track	240	300	End of period	End of period	0	68	13.2	0	69	46.8	403.9	0	0	0	25/09/2017	14:08:36
OPF02	animal  2	VID\Videotrack_user	1	1	track	240	300	End of period	End of period	0	68	13.2	0	69	46.8	403.9	0	0	0	25/09/2017	14:08:36
OPF02	animal  2	VID\Videotrack_user	1	2	track	240	300	End of period	End of period	1	0	0	0	0	0.9	13.2	0	0	0	25/09/2017	14:08:36
OPF03	animal  3	VID\Videotrack_user	1	0	track	240	300	End of period	End of period	0	75	20.6	0	76	39.4	237.8	1	0	1	25/09/2017	14:08:36
OPF03	animal  3	VID\Videotrack_user	1	1	track	240	300	End of period	End of period	0	75	20.6	0	76	39.4	237.8	1	0	1	25/09/2017	14:08:36
OPF03	animal  3	VID\Videotrack_user	1	2	track	240	300	End of period	End of period	1	0	0	0	1	0.8	15.7	1	0	1	25/09/2017	14:08:36
OPF04	animal  4	VID\Videotrack_user	1	0	track	240	300	End of period	End of period	0	50	8.6	0	63	50.6	450.7	12	0.9	24	25/09/2017	14:08:36
OPF04	animal  4	VID\Videotrack_user	1	1	track	240	300	End of period	End of period	0	50	8.6	0	63	50.6	450.7	12	0.9	24	25/09/2017	14:08:36
OPF04	animal  4	VID\Videotrack_user	1	2	track	240	300	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:08:36
OPF01	animal  1	VID\Videotrack_user	1	0	track	300	360	End of period	End of period	0	80	18.3	0	80	41.7	186.9	0	0	0	25/09/2017	14:09:36
OPF01	animal  1	VID\Videotrack_user	1	1	track	300	360	End of period	End of period	0	80	18.3	0	80	41.7	186.9	0	0	0	25/09/2017	14:09:36
OPF01	animal  1	VID\Videotrack_user	1	2	track	300	360	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:09:36
OPF02	animal  2	VID\Videotrack_user	1	0	track	300	360	End of period	End of period	0	59	12.4	0	63	47.3	371.8	4	0.3	6.4	25/09/2017	14:09:36
OPF02	animal  2	VID\Videotrack_user	1	1	track	300	360	End of period	End of period	0	59	12.4	0	63	47.3	371.8	4	0.3	6.4	25/09/2017	14:09:36
OPF02	animal  2	VID\Videotrack_user	1	2	track	300	360	End of period	End of period	1	0	0	0	0	0.4	8.2	0	0	0	25/09/2017	14:09:36
OPF03	animal  3	VID\Videotrack_user	1	0	track	300	360	End of period	End of period	0	61	10.6	0	62	49.4	380	1	0	0.6	25/09/2017	14:09:36
OPF03	animal  3	VID\Videotrack_user	1	1	track	300	360	End of period	End of period	0	61	10.6	0	62	49.4	380	1	0	0.6	25/09/2017	14:09:36
OPF03	animal  3	VID\Videotrack_user	1	2	track	300	360	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:09:36
OPF04	animal  4	VID\Videotrack_user	1	0	track	300	360	End of period	End of period	0	56	8.8	0	70	50.4	391.4	14	0.8	22.3	25/09/2017	14:09:36
OPF04	animal  4	VID\Videotrack_user	1	1	track	300	360	End of period	End of period	0	56	8.8	0	70	50.4	391.4	14	0.8	22.3	25/09/2017	14:09:36
OPF04	animal  4	VID\Videotrack_user	1	2	track	300	360	End of period	End of period	1	0	0	0	0	0.3	6.6	0	0	0	25/09/2017	14:09:36
OPF01	animal  1	VID\Videotrack_user	1	0	track	360	420	End of period	End of period	0	48	6.9	0	61	50.7	397.3	14	2.4	67.7	25/09/2017	14:10:36
OPF01	animal  1	VID\Videotrack_user	1	1	track	360	420	End of period	End of period	0	48	6.9	0	61	50.7	397.3	14	2.4	67.7	25/09/2017	14:10:36
OPF01	animal  1	VID\Videotrack_user	1	2	track	360	420	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:10:36
OPF02	animal  2	VID\Videotrack_user	1	0	track	360	420	End of period	End of period	0	54	9.2	0	55	50.7	374.3	1	0.1	1.7	25/09/2017	14:10:36
OPF02	animal  2	VID\Videotrack_user	1	1	track	360	420	End of period	End of period	0	54	9.2	0	55	50.7	374.3	1	0.1	1.7	25/09/2017	14:10:36
OPF02	animal  2	VID\Videotrack_user	1	2	track	360	420	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:10:36
OPF03	animal  3	VID\Videotrack_user	1	0	track	360	420	End of period	End of period	0	58	11.9	0	62	48	353.4	5	0.1	3.8	25/09/2017	14:10:36
OPF03	animal  3	VID\Videotrack_user	1	1	track	360	420	End of period	End of period	0	58	11.9	0	62	48	353.4	5	0.1	3.8	25/09/2017	14:10:36
OPF03	animal  3	VID\Videotrack_user	1	2	track	360	420	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:10:36
OPF04	animal  4	VID\Videotrack_user	1	0	track	360	420	End of period	End of period	0	45	7.1	0	57	51.5	450.5	12	1.5	39.4	25/09/2017	14:10:36
OPF04	animal  4	VID\Videotrack_user	1	1	track	360	420	End of period	End of period	0	45	7.1	0	57	51.5	450.5	12	1.5	39.4	25/09/2017	14:10:36
OPF04	animal  4	VID\Videotrack_user	1	2	track	360	420	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:10:36
OPF01	animal  1	VID\Videotrack_user	1	0	track	420	480	End of period	End of period	0	59	9.1	0	66	49.3	339.9	6	1.6	45.7	25/09/2017	14:11:36
OPF01	animal  1	VID\Videotrack_user	1	1	track	420	480	End of period	End of period	0	59	9.1	0	66	49.3	339.9	6	1.6	45.7	25/09/2017	14:11:36
OPF01	animal  1	VID\Videotrack_user	1	2	track	420	480	End of period	End of period	2	0	0	0	0	2.4	25.4	0	0	0	25/09/2017	14:11:36
OPF02	animal  2	VID\Videotrack_user	1	0	track	420	480	End of period	End of period	0	87	19.9	0	90	39.8	228.8	3	0.2	5.3	25/09/2017	14:11:36
OPF02	animal  2	VID\Videotrack_user	1	1	track	420	480	End of period	End of period	0	87	19.9	0	90	39.8	228.8	3	0.2	5.3	25/09/2017	14:11:36
OPF02	animal  2	VID\Videotrack_user	1	2	track	420	480	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:11:36
OPF03	animal  3	VID\Videotrack_user	1	0	track	420	480	End of period	End of period	0	79	16.6	0	80	43.2	281.1	1	0.1	3.5	25/09/2017	14:11:36
OPF03	animal  3	VID\Videotrack_user	1	1	track	420	480	End of period	End of period	0	79	16.6	0	80	43.2	281.1	1	0.1	3.5	25/09/2017	14:11:36
OPF03	animal  3	VID\Videotrack_user	1	2	track	420	480	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:11:36
OPF04	animal  4	VID\Videotrack_user	1	0	track	420	480	End of period	End of period	0	63	9.7	0	62	50.3	343.9	0	0	0	25/09/2017	14:11:36
OPF04	animal  4	VID\Videotrack_user	1	1	track	420	480	End of period	End of period	0	63	9.7	0	62	50.3	343.9	0	0	0	25/09/2017	14:11:36
OPF04	animal  4	VID\Videotrack_user	1	2	track	420	480	End of period	End of period	1	0	0	0	0	0.7	10.3	0	0	0	25/09/2017	14:11:36
OPF01	animal  1	VID\Videotrack_user	1	0	track	480	540	End of period	End of period	0	71	14.6	0	74	45.2	274.1	3	0.2	5.3	25/09/2017	14:12:36
OPF01	animal  1	VID\Videotrack_user	1	1	track	480	540	End of period	End of period	0	71	14.6	0	74	45.2	274.1	3	0.2	5.3	25/09/2017	14:12:36
OPF01	animal  1	VID\Videotrack_user	1	2	track	480	540	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:12:36
OPF02	animal  2	VID\Videotrack_user	1	0	track	480	540	End of period	End of period	0	64	7.5	0	73	51.7	399.4	9	0.8	22.7	25/09/2017	14:12:36
OPF02	animal  2	VID\Videotrack_user	1	1	track	480	540	End of period	End of period	0	64	7.5	0	73	51.7	399.4	9	0.8	22.7	25/09/2017	14:12:36
OPF02	animal  2	VID\Videotrack_user	1	2	track	480	540	End of period	End of period	1	0	0	0	0	0.3	3.5	0	0	0	25/09/2017	14:12:36
OPF03	animal  3	VID\Videotrack_user	1	0	track	480	540	End of period	End of period	0	74	14.2	0	78	45.5	244.8	3	0.3	7.6	25/09/2017	14:12:36
OPF03	animal  3	VID\Videotrack_user	1	1	track	480	540	End of period	End of period	0	74	14.2	0	78	45.5	244.8	3	0.3	7.6	25/09/2017	14:12:36
OPF03	animal  3	VID\Videotrack_user	1	2	track	480	540	End of period	End of period	1	2	0.1	0	2	5.1	29.1	0	0	0	25/09/2017	14:12:36
OPF04	animal  4	VID\Videotrack_user	1	0	track	480	540	End of period	End of period	0	62	11.2	0	69	47.8	283.1	6	0.9	28.8	25/09/2017	14:12:36
OPF04	animal  4	VID\Videotrack_user	1	1	track	480	540	End of period	End of period	0	62	11.2	0	69	47.8	283.1	6	0.9	28.8	25/09/2017	14:12:36
OPF04	animal  4	VID\Videotrack_user	1	2	track	480	540	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:12:36
OPF01	animal  1	VID\Videotrack_user	1	0	track	540	600	End of period	End of session	0	56	7.1	0	74	48.8	361	18	4.2	124.4	25/09/2017	14:13:36
OPF01	animal  1	VID\Videotrack_user	1	1	track	540	600	End of period	End of session	0	56	7.1	0	74	48.8	361	18	4.2	124.4	25/09/2017	14:13:36
OPF01	animal  1	VID\Videotrack_user	1	2	track	540	600	End of period	End of session	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:13:36
OPF02	animal  2	VID\Videotrack_user	1	0	track	540	600	End of period	End of session	0	56	7.6	0	66	51.3	431.8	11	1.1	31	25/09/2017	14:13:36
OPF02	animal  2	VID\Videotrack_user	1	1	track	540	600	End of period	End of session	0	56	7.6	0	66	51.3	431.8	11	1.1	31	25/09/2017	14:13:36
OPF02	animal  2	VID\Videotrack_user	1	2	track	540	600	End of period	End of session	1	0	0	0	0	1.1	19.1	0	0	0	25/09/2017	14:13:36
